mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
19,23,-4.828598135495083,0.04161740186689813,-4.107554419180748,0.038862858597528346,-0.3636700000000008,-0.7210437163143354,0.05694146043545405,-0.7129508586992594,0.10538696315260292
19,33,-3.732361524293787,0.05186629219263798,-3.118793879246025,0.052699857161882864,-1.0561300000000005,-0.6135676450477621,0.07394178257720702,-1.3741470102169915,0.09861057466187152
20,42,-1.6794624414472077,0.05297348778005434,-2.0777641486769665,0.052216906192694666,0.049650000000001526,0.398301707229759,0.07438276480422223,0.08096541990319395,0.1290752087242275
24,19,-3.0807301778144254,0.04658147765978633,-4.445909627408684,0.047513166847196704,1.3191200000000007,1.3651794495942586,0.06653822273564816,0.7603344860898131,0.10466632316222545
24,23,-9.186396665433886,0.05262842514670099,-8.878232176332943,0.05160865370598779,0.9554499999999999,-0.30816448910094424,0.07371027249146808,0.047383627390553684,0.1051305272145395
24,29,-11.476998710951811,0.06902139041183937,-11.146435035801606,0.06864169728203838,-0.7761099999999992,-0.33056367515020574,0.09734287308345972,0.3438757924987126,0.08774718348559521
26,37,-1.3059683053578464,0.07011425348354473,1.033957596103986,0.0664307000688264,-0.827630000000001,-2.3399259014618323,0.0965869890471234,-2.3846925568516024,0.11237095759723954
29,26,-0.3746066133361428,0.06216062463255405,-0.04687681941730634,0.06240927507981558,0.4765800000000002,-0.3277297939188365,0.08808439629524276,-0.12927330086154498,0.08556226510376755
29,36,-6.076608050002355,0.057013179652536765,-3.5686189783627773,0.05599646524280414,2.2054799999999997,-2.507989071639578,0.07991312016046555,-2.067997099424506,0.07107522915089239
29,55,-8.008386767134706,0.04800723220158794,-5.948818702800565,0.048231301510904545,-0.9894800000000004,-2.0595680643341416,0.06805110424594861,-2.383395771811548,0.0676506666151571
29,57,-4.711617401778794,0.05250343150099785,-2.545032491314872,0.0503254077001493,-0.8283799999999992,-2.1665849104639214,0.07272727809815394,-2.5882332681824582,0.07979509034329069
29,60_adjust,-13.331962888398369,0.06498078283967261,-10.66557661642492,0.06506477054688958,1.5022800000000007,-2.666386271973449,0.09195611184024735,-1.9119452580482186,0.07963604425808052
30_flip_b,26,5.7896722625780015,0.0563793881765231,6.600234819853091,0.05517936478012853,0.028750000000000497,-0.8105625572750887,0.07888851442825859,-0.9996087034992973,0.10271986558282845
30_flip_b,31,2.3894903659443005,0.046780127484321844,5.455051230823653,0.04576902428296193,-0.08427999999999969,-3.065560864879352,0.06544603816323614,-3.109640706187446,0.10520475762286716
30_flip_b,34,-9.136301571118908,0.057979907259541795,-6.714634938239475,0.05888402635343543,-0.774189999999999,-2.4216666328794334,0.08263775290638745,-2.143944593439543,0.11156957078169906
31,33,10.294081157882891,0.0534999831084655,8.916299544479845,0.053486270573636016,0.6755499999999994,1.3777816134030474,0.07565070609374572,1.2816169869238028,0.09903567249323879
31,34,-10.946217267941625,0.053707071003462066,-11.874484368672853,0.05351159561658277,-0.6899099999999994,0.9282671007312272,0.07581517223619291,0.9656961127479029,0.11205708158984788
33,23,-0.3770915724331201,0.04782242289458842,-1.3491360165357802,0.04783963058572403,0.6924599999999996,0.9720444441026601,0.06764328781251985,0.661196151517732,0.09910314820050956
33,37,-0.8701272736043081,0.07436047300929526,0.21917812399359807,0.07408720575637745,-1.3901500000000002,-1.0893053975979061,0.10496853815764959,-1.5562775410872565,0.10851223590974912
35,33,11.368469579627801,0.07033787155461814,10.597677320657077,0.06866759650653075,1.5318799999999992,0.7707922589707249,0.09829880459505941,1.2113912787393186,0.07880685542658365
35,36,4.083548461477802,0.05516996120527734,3.38638353248242,0.05092457513622959,2.6982599999999994,0.697164928995382,0.07508020359720198,0.10108249594070351,0.06923607600506024
35,52,3.5668724467086523,0.04468359228749062,2.6881621966554405,0.04265239876872651,-0.25650000000000084,0.8787102500532116,0.06177257110110566,0.6731360080496973,0.07245021253806425
35,53,6.3711679091868225,0.04939628000967134,6.116806762857156,0.04792644882457947,3.14116,0.25436114632966694,0.06882540937567237,0.8871763629365379,0.07700627579699584
35,60_adjust,-2.8699400132719735,0.05961845647161626,-3.505205657978064,0.0596272947254052,1.9950600000000005,0.6352656447060909,0.0843194795307012,0.257134337316991,0.07799901003731763
35,70,-6.450067991802908,0.039134060146643806,-5.703681231350212,0.037171867853706644,-0.1651000000000007,-0.7463867604526958,0.053974275569891296,-0.7840674648757666,0.07163721020814458
37,34,-12.826488235430523,0.06214162553296282,-14.439344933063342,0.06351181974390357,0.024690000000001433,1.6128566976328202,0.08885568564285054,1.2403566669113566,0.12051402594876175
38,35,18.99532437303056,0.06454982662482135,19.143012459802687,0.06696678562185417,-1.3800399999999993,-0.14768808677212844,0.09301199112919725,-0.23418197749561465,0.07857097622287662
38,69,6.431167152722294,0.05738094377459026,7.8077871837256145,0.05967223887779176,-1.9558400000000002,-1.3766200310033214,0.08278495516185855,-1.3538299307502921,0.07479886758429939
38,70,12.227444078915946,0.06608114437073251,13.30476293463848,0.06697746855884855,-1.54514,-1.0773188557225355,0.09408878220009619,-1.0182494423713813,0.08557636754640524
41,20,-7.450721271263401,0.04164917680479144,-7.9473455804291016,0.04027625056916803,-1.1287600000000007,0.4966243091657012,0.05793815917361532,0.4721373895235086,0.13304905441771758
