mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
12,24,3.601995611726928,0.039693889151677535,3.1595200917865793,0.03786845619442102,0.6710599999999989,0.4424755199403484,0.054860047489356474,0.4548487554045799,0.07286923179042915
11,32,-12.502161835023836,0.036269208080551216,-13.542946525401913,0.038406838662325936,0.9818499999999988,1.040784690378077,0.052825568722203606,0.9256879731179541,0.06013978916559155
11,27,-2.0842876043092198,0.0390921880146321,-0.8809200122865475,0.03851231365689309,-0.9090100000000003,-1.2033675920226723,0.05487620128050282,-0.8905093039478569,0.05714989502866648
11,15,5.21753140711033,0.04935842579109556,5.585452266525012,0.049897229365865506,0.7859299999999996,-0.3679208594146818,0.07018538092056549,-0.7144787033021842,0.06483549210684615
11,16,3.038551080806511,0.05079712936689719,1.8807688961042184,0.048058965560234396,1.6456299999999997,1.1577821847022924,0.06992862448695157,1.2439216577430958,0.06888759158691378
12,26,5.144006049809276,0.05333359623365011,3.659009507195707,0.048996495136391933,0.09179999999999922,1.4849965426135685,0.07242326299514885,1.0840941981881222,0.07444575321366727
13,21,2.402319834651123,0.05012664188866957,2.6659022828479784,0.04965009037606958,-0.5720399999999994,-0.26358244819685495,0.07055360870562752,-0.27174256884665837,0.06271300780695623
13,14,2.949957785416787,0.05175680954580307,3.210782829292363,0.05279285921981124,-0.19298000000000037,-0.26082504387557587,0.0739314095561781,-0.07469451951589612,0.06339247172663044
13,26,3.7042328114803786,0.05428834992521575,3.404696653613289,0.052821444017699115,-0.7218400000000003,0.2995361578670894,0.07574516410780027,0.707436393169516,0.0652653201911904
13,24,10.557548572845121,0.05760863588835118,10.261373230183858,0.055618540314144045,-0.1425800000000006,0.2961753426612642,0.08007606980610806,0.07819095038597368,0.0634611439373389
11,22,10.636015450969412,0.05958007274436776,9.744372828432919,0.05884336898955123,1.09645,0.8916426225364922,0.0837396390144156,0.8221609189005825,0.0695583393010058
14,18,-2.8249515164164913,0.04030484501088774,-2.053779291038103,0.04091325622057167,-0.06475000000000009,-0.7711722253783886,0.05743148148813357,-0.823047476918525,0.08229864725932835
13,36,-8.687576342077987,0.044298489725361906,-5.452451498558306,0.04304298176120763,-1.3354400000000002,-3.235124843519681,0.06176612721260454,-3.5745321271711497,0.06214985061853572
12,40,-12.488750633764083,0.06120335568013766,-15.33121217134122,0.06289216478395633,1.810929999999999,2.8424615375771376,0.08775690934463086,3.399433501455011,0.0730998992202104
14,19,1.7949923945940016,0.03909559195019369,2.831354530974178,0.041713774083100584,-0.07460000000000022,-1.0363621363801765,0.05717083398195275,-0.9351444782229965,0.0800629892882979
14,26,1.871205137327127,0.045232804550686574,1.1100830757256857,0.043475570757474574,-0.5288599999999999,0.7611220616014414,0.06273859944411249,0.7821309126854121,0.0739297305626622
14,23,3.638970120804182,0.04456774547862268,4.720903372371701,0.0445456243947599,0.017279999999999518,-1.0819332515675193,0.06301267007329812,-1.0284261368528451,0.08521322103441309
13,35,-1.6983279453566869,0.057334474570056436,-1.5782981718703837,0.05712346026283034,-0.23850000000000016,-0.12002977348630318,0.08093411942205589,0.007379202897466186,0.05647733158944082
15,37,-14.022395142777892,0.04638688001491738,-15.048183611886262,0.047610627073082855,-1.5325800000000003,1.0257884691083718,0.06647190720756034,0.7031261783067446,0.0755495693844004
15,32,-17.733449051930567,0.04888290332406947,-19.360697240845333,0.0494474530088288,0.1959199999999992,1.6272481889147659,0.0695312077160368,1.6401666764201384,0.06687395611227588
17,20,0.9058932281340063,0.044281485523598625,-0.16610700721566304,0.04254802596853481,0.1974999999999998,1.0720002353496692,0.06140997047707959,1.0431205725670232,0.07755049376583695
16,33,-15.081259764750937,0.047999177547849256,-14.16228587597046,0.04597128339767208,-0.08218000000000014,-0.9189738887804777,0.06646262064122235,-0.8453930385924036,0.07618626145925761
16,31,-10.984284586585895,0.05387231034537846,-9.999956613657616,0.05177396602682826,-2.4758000000000004,-0.9843279729282798,0.07471793211870854,-0.9789803121233085,0.07258368064669933
17,38,0.5071313524098964,0.05143958477644474,-1.046561005266448,0.05061678444061283,0.9801699999999993,1.5536923576763444,0.072167096027764,1.6115642084826778,0.07613270982887864
18,19,5.181815505167322,0.04849345513934965,5.1498535690225165,0.047095396716421614,-0.009850000000000136,0.031961936144805546,0.06759875430234828,-0.11209700130447153,0.08921043146108304
