mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
1832576-04-1,1832577-09-9,1.5370991331877013,0.06336106000727346,-0.09746560316042988,0.06312084590934305,1.634564736348131,0.08943637466689008,1.645852349536163
1832576-04-1,Pfizer-01-01,3.0165192147784006,0.070472272886879,1.5795478801827456,0.07089241100931883,1.436971334595655,0.099960368069335,1.1857247500970411
1832576-04-1,Pfizer-01-02,-0.4489819597812316,0.06442669068848354,-2.2550755856093243,0.06414048817325181,1.8060936258280929,0.09091094926450052,1.4466222234101842
2714550-01-1,1832577-09-9,0.8009385597153721,0.06148506890998349,-0.6881857383621649,0.06195716483637822,1.489124298077537,0.08728747890406481,0.38622292552512305
Pfizer-01-01,1832577-09-9,-1.4475466939487742,0.07341453448687986,-1.5372717524408046,0.07354855525668151,0.08972505849203034,0.10391864055245528,0.46012759943912185
Pfizer-01-02,Pfizer-01-08,-12.824181282679623,0.06339526870246659,-12.68914011013471,0.06097587015667253,-0.13504117254491205,0.08796031397864225,2.1342033016841935
Pfizer-01-03,Pfizer-01-05,-13.012549389469907,0.05610460162267929,-16.552109786919328,0.055754032011923256,3.5395603974494216,0.07909638682535448,1.652050803490815
Pfizer-01-03,Pfizer-01-11,-31.761331730588985,0.06359668303146924,-39.80599197043645,0.06461897456074896,8.044660239847468,0.09066504268949466,1.8731752673036195
Pfizer-01-04,Pfizer-01-08,-6.64342226787564,0.057587638499126646,-4.485618810931234,0.0591511362898161,-2.1578034569444067,0.08255418240333129,0.7368826744125285
Pfizer-01-04,Pfizer-01-10,-4.493950882056993,0.061609886891770674,-3.182290580423502,0.06225021349310083,-1.3116603016334905,0.08758348727216453,0.7368826744125285
Pfizer-01-04,Pfizer-01-11,3.304699216709542,0.03500588438403649,-2.915092014540971,0.040304517226819575,6.219791231250514,0.053384136692425074,0.7368826744125285
Pfizer-01-04,Pfizer-01-12,18.971225896159034,0.05150751776820806,18.544605897316114,0.052090179410100544,0.4266199988429196,0.07325579279223407,0.7368826744125285
Pfizer-01-04,Pfizer-01-13,4.972272176568752,0.05732154224712284,3.7294042959311233,0.05912308672104111,1.2428678806376285,0.08234864048065661,0.7368826744125285
Pfizer-01-05,Pfizer-01-08,-0.962152983754582,0.05222223834238225,1.8224404443684739,0.05409270758871015,-2.7845934281230558,0.07518765318698462,0.22112446381280448
Pfizer-01-05,Pfizer-01-13,3.4040871345895227,0.049190383064546706,3.6511013498527265,0.04814874430854719,-0.2470142152632036,0.06883309788558624,0.22112446381280448
Pfizer-01-06,Pfizer-01-03,-3.4743621532255284,0.04962806446302177,-2.698074630754464,0.049918815820538406,-0.7762875224710645,0.07039057433542278,-1.6856811149845812
Pfizer-01-06,Pfizer-01-04,-39.67322303738132,0.06885983957625705,-39.781893703690606,0.07012873243186787,0.10867066630929115,0.09828385736716062,-0.5493885220934902
Pfizer-01-06,Pfizer-01-11,-35.8916139562956,0.0704054110359037,-43.15501069729774,0.07016712104338789,7.263396741002139,0.09939993349420309,0.18749415231903838
Pfizer-01-07,2714550-01-1,-38.95903281703269,0.07092804399543783,-38.072055488746685,0.07074190623036458,-0.8869773282860064,0.10017586896116479,-2.3080896267484032
Pfizer-01-07,Pfizer-01-01,-37.4106158479064,0.06958346093777501,-38.23138526706636,0.07155430067367288,0.8207694191599588,0.09980919787763673,-2.381994300662402
Pfizer-01-07,Pfizer-01-12,-31.057036019329672,0.07216400268447946,-34.81462331864797,0.0718311519444613,3.7575872993182946,0.10182022231911422,0.013106474334934547
Pfizer-01-09,2714550-01-1,-7.621642090132765,0.045983734205760726,-3.222789759141763,0.04773468431508299,-4.3988523309910015,0.06628049410020025,-2.3211961010833377
Pfizer-01-09,Pfizer-01-02,-8.248757104643033,0.04015343185749602,-5.7736872437157105,0.045024318473054506,-2.4750698609273227,0.06032816377031223,-2.1342033016841935
Pfizer-01-09,Pfizer-01-10,-18.071532292908547,0.03827262986285578,-16.611959270479982,0.04273172689790501,-1.4595730224285652,0.05736544848858326,0.0
Pfizer-01-10,Pfizer-01-02,9.59216456856654,0.036303122488032344,10.5239621777884,0.040705459844509254,-0.931797609221859,0.05454219617446692,-2.1342033016841935
Pfizer-01-13,Pfizer-01-12,13.739212325374723,0.05484979878873058,15.148812887969244,0.058223336604140655,-1.4096005625945212,0.07999035787195413,0.0
