mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
19,23,-3.0630887794484627,0.035494878299814146,-1.8675995823739355,0.0377236691400666,-1.1954891970745272,0.051797312661062155,-0.36593561542120234
20,42,-2.3631212442911274,0.04775947204501068,-2.6628939432574774,0.04662871786878274,0.29977269896635,0.06674731829897508,0.04995926363476655
24,23,-2.8270685393561994,0.05081018710420947,-4.086694051232223,0.05105587413410383,1.2596255118760242,0.07203039217692922,0.9613797585629699
19,33,-4.538886445333028,0.04761794727496742,-0.7178012279131251,0.05028201660816656,-3.821085217419903,0.06925135447675745,-1.0626948334705881
24,26,-6.799157170687859,0.05912450053284901,-7.006128289469479,0.05851982420855899,0.20697111878162064,0.08318819861410337,-0.3013902408500421
26,34,-6.1637048850526845,0.03763768368619462,-4.551014000268417,0.038431716688223504,-1.612690884784268,0.053792119133437365,-0.8079247352160092
20,44,-3.4615989301769465,0.0647870885601771,-3.9375096707933888,0.0637872588958299,0.47591074061644223,0.09091854179180317,-1.4411170427820765
29,35,0.0249245302204868,0.03798633646663424,1.5944366147025126,0.03726587919802437,-1.5695120844820258,0.053213790605049854,-0.49585011085754177
24,29,-16.112193590848197,0.06988176207895071,-15.24780922925885,0.07034275159203608,-0.8643843615893474,0.09915424031678106,-0.7809289689434661
29,57,-0.8955108475761959,0.04906967999348351,2.0940939370498795,0.049091336313070014,-2.989604784626075,0.06941032196774354,-0.833515134277182
26,37,3.2240208540913593,0.06740818191658998,4.548638706426136,0.06564688689277011,-1.324617852334776,0.09409238411270192,-0.8327685283413407
30,19,6.145993097629853,0.05415802150653405,5.3316311901740905,0.05258153457161043,0.8143619074557631,0.0754844955696709,1.657635726612512
30,23,3.7245104435808996,0.05229124263017487,3.439647510080354,0.051930078737117885,0.2848629335005458,0.07369604557539762,1.2917001111913096
26,60,-0.36137068465624533,0.07669596351085257,2.1228309827489737,0.07593158747663516,-2.484201667405219,0.10792532972189581,1.0320742776147849
30,33,1.7149351459369533,0.06230468585950116,4.40342441801323,0.05976220844579814,-2.6884892720762763,0.08633304951390372,0.5949408931419238
31,33,4.686146106784628,0.05747785165177399,4.809541692788291,0.057491445081730506,-0.12339558600366328,0.08129556991674869,0.6797460613640534
31,34,-6.517073149820994,0.05094892334612012,-5.964100858717427,0.05145977803983795,-0.552972291103566,0.072414788172294,-0.694189455215582
31,37,2.7328094736104416,0.0719798830796274,2.9318665522380853,0.06961080211253895,-0.19905707862764374,0.10013374725290114,-0.7190332483409135
35,36,9.937929219008574,0.057599710390388574,7.941154241537438,0.057758378116046116,1.9967749774711354,0.08157056380614758,2.7150305143650058
31,60,-2.56733562702593,0.06990903057995726,-1.0182027794398558,0.07096039766070797,-1.5491328475860746,0.09961250219121698,1.145809557615212
35,53,3.886598184661985,0.05633152173218965,3.081736760343563,0.05297929593977552,0.8048614243184217,0.07733075803933691,3.1606807866781303
35,33,11.067186309483013,0.06931802805614984,10.572521685717929,0.06990236800961216,0.49466462376508535,0.09844455326194755,1.5413996203145919
37,34,-9.128071428732964,0.06370650667128437,-9.161064695634966,0.06364196606023294,0.03299326690200184,0.09004898020671995,0.024843793125331623
38,69,-9.180454120134081,0.054434492601367006,-5.710435030571588,0.055486519221130494,-3.470019089562493,0.07772945259066966,-1.9680077958110116
38,35,-3.9366503736107124,0.06404281055486892,-3.7149683667791114,0.062489993657925305,-0.2216820068316008,0.08947894104835157,-1.3886187627771773
41,20,-4.4075838393928555,0.047560189145090935,-4.964245163780929,0.047585580305871726,0.5566613243880734,0.06727822117567758,-1.1357712408201242
41,42,-7.181750660538736,0.05564996128628139,-7.678578608026314,0.056185791392066496,0.49682794748757825,0.07908072676396842,-1.0858119771853576
38,70,-10.947190209766196,0.06393496202482928,-7.649868306069925,0.06365270934517403,-3.2973219036962718,0.09021832838230583,-1.5547778719848018
41,44,-8.429625943122755,0.06630266705452124,-9.375823161238953,0.06606618056772631,0.9461972181161987,0.09359905914778265,-2.5768882836022007
43,39,-2.917880676712,0.06096341701385172,-4.92691555135601,0.061357150278820015,2.0090348746440103,0.08649415069438215,0.8051324322224471
42,44,-1.5782083623577072,0.06919067431578224,-1.7259049228588332,0.06863713798548911,0.14769656050112606,0.0974597666891919,-1.491076306416843
43,49,-3.683949629824194,0.06139578554704967,-6.530515375508422,0.06099854033180366,2.846565745684228,0.08654631364506515,0.06376671530452503
43,46,6.686940600242181,0.06594221260189334,4.28501391489323,0.06566228405707149,2.4019266853489523,0.0930586425348277,0.13916438074945203
43,62,-77.76887548453087,0.06372146826692306,-77.21181664828731,0.06450089263381903,-0.5570588362435642,0.09066857597123676,0.30782710189406143
